epoch	recall@20	ndcg@20	diversity	
0	0.0315	0.0258	0.1612	
5	0.0355	0.0288	0.1627	
10	0.0397	0.0320	0.1653	
15	0.0412	0.0333	0.1671	
20	0.0420	0.0339	0.1677	
25	0.0435	0.0351	0.1683	
30	0.0443	0.0361	0.1694	
35	0.0453	0.0369	0.1702	
40	0.0460	0.0375	0.1709	
45	0.0466	0.0381	0.1716	
50	0.0473	0.0385	0.1720	
55	0.0480	0.0391	0.1725	
60	0.0489	0.0397	0.1731	
65	0.0496	0.0402	0.1735	
70	0.0503	0.0408	0.1741	
75	0.0511	0.0413	0.1745	
80	0.0518	0.0417	0.1748	
85	0.0523	0.0421	0.1752	
90	0.0528	0.0425	0.1756	
95	0.0531	0.0427	0.1760	
100	0.0536	0.0433	0.1763	
105	0.0537	0.0434	0.1766	
110	0.0539	0.0435	0.1769	
115	0.0545	0.0439	0.1772	
120	0.0548	0.0440	0.1774	
125	0.0549	0.0443	0.1776	
130	0.0551	0.0445	0.1780	
135	0.0554	0.0447	0.1782	
140	0.0555	0.0448	0.1784	
145	0.0558	0.0450	0.1787	
150	0.0563	0.0454	0.1788	
155	0.0560	0.0452	0.1788	
160	0.0563	0.0455	0.1791	
165	0.0564	0.0456	0.1794	
170	0.0564	0.0456	0.1795	
175	0.0570	0.0459	0.1795	
180	0.0569	0.0460	0.1797	
185	0.0571	0.0462	0.1799	
190	0.0573	0.0464	0.1802	
195	0.0576	0.0466	0.1803	
200	0.0579	0.0468	0.1804	
205	0.0581	0.0469	0.1805	
210	0.0583	0.0471	0.1806	
215	0.0583	0.0470	0.1806	
220	0.0582	0.0470	0.1807	
225	0.0586	0.0472	0.1808	
230	0.0588	0.0474	0.1811	
235	0.0586	0.0473	0.1813	
240	0.0587	0.0474	0.1813	
245	0.0589	0.0475	0.1814	
250	0.0590	0.0475	0.1816	
255	0.0590	0.0476	0.1815	
260	0.0593	0.0478	0.1817	
265	0.0593	0.0479	0.1816	
270	0.0594	0.0480	0.1818	
275	0.0592	0.0479	0.1817	
280	0.0593	0.0480	0.1819	
285	0.0597	0.0482	0.1819	
290	0.0595	0.0481	0.1823	
295	0.0601	0.0485	0.1821	
300	0.0601	0.0485	0.1823	
305	0.0601	0.0484	0.1824	
310	0.0599	0.0483	0.1824	
315	0.0601	0.0484	0.1825	
320	0.0603	0.0487	0.1825	
325	0.0604	0.0486	0.1826	
330	0.0604	0.0488	0.1828	
335	0.0606	0.0490	0.1827	
340	0.0609	0.0491	0.1828	
345	0.0608	0.0492	0.1827	
350	0.0609	0.0492	0.1830	
355	0.0609	0.0492	0.1829	
360	0.0610	0.0494	0.1830	
365	0.0613	0.0495	0.1831	
370	0.0611	0.0494	0.1830	
375	0.0614	0.0496	0.1830	
380	0.0610	0.0494	0.1830	
385	0.0609	0.0494	0.1831	
390	0.0613	0.0495	0.1830	
395	0.0614	0.0496	0.1832	
400	0.0610	0.0494	0.1833	
405	0.0612	0.0496	0.1833	
